ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
1911 MARGARET ST,10/31/2018 12:00:00 AM,Single Family Residential,2,7,1,34702,"(44.9614483937664, -93.019652834373)",16,2,145,44
2171 5TH ST E,10/31/2018 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.9595991426094, -93.008734272478)",16,2,154,44
373 NEBRASKA AVE W,10/29/2018 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.9865267801216, -93.115633905972)",3,3,159,79
1764 BUSH AVE,10/26/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9647839399701, -93.025980448472)",14,2,139,63
1367 5TH ST E,10/26/2018 12:00:00 AM,Single Family Residential,1,7,4,34602,"(44.9595915823309, -93.042655825086)",15,2,135,46
842 5TH ST E,10/25/2018 12:00:00 AM,Duplex,1,7,4,34500,"(44.9592811422818, -93.064927247008)",15,2,196,42
663 YORK AVE,10/24/2018 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.9685536102579, -93.072478457386)",13,1,189,59
1282 HAGUE AVE,10/23/2018 12:00:00 AM,Single Family Residential,2,1,13,35300,"(44.9456954138268, -93.154490512909)",17,7,45,4
132 WESTERN AVE S,10/08/2018 12:00:00 AM,Single Family Residential,1,2,9,35900,"(44.9375417658737, -93.115846001889)",11,5,94,26
930 JESSAMINE AVE E,10/08/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9746567995321, -93.061365313913)",13,1,194,72
666 FULLER AVE,10/05/2018 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.9537750045271, -93.128223421517)",9,7,66,40
363 LAWSON AVE E,10/03/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.9720365609195, -93.085037556426)",13,3,185,68
1763 MINNEHAHA AVE E,09/27/2018 12:00:00 AM,Single Family Residential,1,7,2,31801,"(44.9632470507805, -93.026015273498)",14,2,139,63
981 MENDOTA ST,09/21/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9708851736247, -93.063554820639)",13,1,194,65
362 SHERBURNE AVE,09/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.9565301797738, -93.115443744254)",10,7,98,49
1111 REANEY AVE,09/14/2018 12:00:00 AM,Single Family Residential,1,7,4,31701,"(44.9641367144319, -93.053777519474)",15,2,128,58
1686 7TH ST E,09/14/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9665190944511, -93.029271715712)",14,2,139,63
2071 SUBURBAN AVE,09/13/2018 12:00:00 AM,Duplex,1,7,1,34702,"(44.9504117286651, -93.013043572652)",16,2,155,44
1952 NEBRASKA AVE E,09/13/2018 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.9863697605201, -93.017989721357)",14,1,148,80
171 WYOMING ST E,09/11/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9205579240479, -93.07797454436)",7,5,79,9
1846 CHELTON AVE,09/10/2018 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.9645890929596, -93.17824742061)",4,4,5,55
1565 ROSS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9659929509393, -93.034573590577)",14,2,139,63
1011 BURNS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.9488698349355, -93.057716577814)",15,2,197,42
