Date,City Code,City Name,Ward Code,Ward Name,Precinct Code,Precinct Name,Congressional District,State Senate District,State House District,County Commissioner District,Judicial District,Soil and Water Conservation District,Hospital District,Voter Count,Location
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0710,ST. PAUL W-2 P-04,4,64,64A,04,02,,,1578,"(44.93878584, -93.12451155)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0750,ST. PAUL W-2 P-08,4,65,65B,05,02,,,1246,"(44.94631273, -93.10327227)"
02/01/2019 12:00:00 AM,100,North Oaks,,,0370,NORTH OAKS P-1,4,38,38B,01,02,,,1871,"(45.0931932, -93.10087183)"
02/01/2019 12:00:00 AM,020,Blaine,01,W-01,0050,BLAINE W-1 P-9,4,42,42A,01,02,,North Suburban,0,"(45.12164971, -93.19366559)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0940,ST. PAUL W-3 P-11,4,64,64B,05,02,,,1997,"(44.89945014, -93.1584212)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1100,ST. PAUL W-4 P-11,4,66,66A,03,02,,,2253,"(44.98277842, -93.1618286)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1240,ST. PAUL W-5 P-09,4,66,66B,03,02,,,1763,"(44.97214266, -93.08218397)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0860,ST. PAUL W-3 P-03,4,64,64B,05,02,,,2772,"(44.91509127, -93.19129272)"
02/01/2019 12:00:00 AM,160,Spring Lake Park,,,1650,SPRING LAKE PARK P-1R,4,42,42A,01,02,,North Suburban,101,"(45.11311226, -93.22585563)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0810,ST. PAUL W-2 P-14,4,65,65B,05,02,,,1719,"(44.92508561, -93.08765114)"
02/01/2019 12:00:00 AM,180,White Bear Twp,,,1700,WHITE BEAR TWP P-1,4,38,38B,01,02,,,3364,"(45.10719104, -93.04365036)"
02/01/2019 12:00:00 AM,050,Lauderdale,,,0090,LAUDERDALE P-1,4,66,66A,02,02,,,1399,"(44.99419276, -93.20260888)"
